date,GOOG,AAPL,FB,BABA,AMZN,GE,AMD,WMT,BAC,GM,T,UAA,SHLD,XOM,RRC,BBY,MA,PFE,JPM,SBUX
1989-12-29,,0.117203,,,,0.352438,3.9375,3.48607,1.752478,,2.365775,,,1.766756,,0.166287,,0.110818,1.827968,
1990-01-05,,0.125516,,,,0.358586,3.8125,3.602595,1.705114,,2.287973,,,1.722587,,0.190537,,0.114405,1.9121,
1990-01-12,,0.11471,,,,0.344925,3.75,3.456938,1.619857,,2.162473,,,1.687252,,0.166287,,0.109821,1.805023,
1990-01-19,,0.113878,,,,0.354488,3.75,3.379253,1.676695,,2.162473,,,1.718172,,0.180144,,0.112412,1.766781,
1990-01-26,,0.108891,,,,0.34151,3.6875,3.272438,1.629331,,2.0418,,,1.651917,,0.190537,,0.108027,1.621461,
1990-02-02,,0.113878,,,,0.337412,3.5,3.262727,1.624595,,2.099723,,,1.691669,,0.197466,,0.110618,1.598516,
1990-02-09,,0.113878,,,,0.345608,3.625,3.388964,1.596175,,2.046625,,,1.794653,,0.214787,,0.134814,1.58322,
1990-02-16,,0.123304,,,,0.338778,3.625,3.330701,1.695641,,2.094896,,,1.785354,,0.204394,,0.133557,1.659703,
1990-02-23,,0.121478,,,,0.330582,3.875,3.155911,1.667222,,2.046625,,,1.752808,,0.207859,,0.113184,1.560275,
1990-03-02,,0.123304,,,,0.37487,4.5,3.50549,1.800287,,2.210742,,,1.73886,,0.235573,,0.124251,1.590868,
1990-03-09,,0.134721,,,,0.376373,4.5,3.583174,1.624172,,2.201089,,,1.724913,,0.263288,,0.121232,1.734941,
1990-03-16,,0.147052,,,,0.384636,4.625,3.670567,1.585035,,2.157645,,,1.766756,,0.270216,,0.117711,1.693632,
1990-03-23,,0.154359,,,,0.383134,4.9375,3.655883,1.516546,,2.123857,,,1.715613,,0.301395,,0.118466,1.660587,
1990-03-30,,0.147052,,,,0.386139,4.5625,3.714847,1.516546,,2.181781,,,1.720263,,0.287538,,0.121987,1.544925,
1990-04-06,,0.145682,,,,0.38689,4.4375,3.803296,1.384459,,2.316381,,,1.715613,,0.273681,,0.115699,1.511877,
1990-04-13,,0.158012,,,,0.396656,4.4375,4.03916,1.472516,,2.382273,,,1.701666,,0.266752,,0.118466,1.619278,
1990-04-20,,0.147052,,,,0.393651,4.3125,3.862264,1.452948,,2.230214,,,1.724913,,0.263288,,0.117208,1.536662,
1990-04-27,,0.142942,,,,0.383885,4.3125,3.793467,1.457841,,2.179527,,,1.67377,,0.228645,,0.116202,1.561447,
1990-05-04,,0.146139,,,,0.3929,4.1875,3.980193,1.545898,,2.194734,,,1.729561,,0.263288,,0.114693,1.644063,
1990-05-11,,0.155729,,,,0.409427,4.75,4.20623,1.541006,,2.306245,,,1.877613,,0.287538,,0.121987,1.701895,
1990-05-18,,0.145225,,,,0.409427,5.1875,4.275023,1.536115,,2.306245,,,1.872711,,0.284073,,0.158669,1.767987,
1990-05-25,,0.158413,,,,0.41093,5.375,4.333986,1.503636,,2.291038,,,1.823687,,0.297931,,0.164936,1.792772,
1990-06-01,,0.161383,,,,0.454585,5.25,4.589506,1.620474,,2.367067,,,1.872711,,0.291002,,0.171534,1.850604,
1990-06-08,,0.151482,,,,0.448044,4.8125,4.677955,1.681431,,2.291038,,,1.843296,,0.308324,,0.168895,1.875389,
1990-06-15,,0.156433,,,,0.458672,4.6875,4.980618,1.595074,,2.220076,,,1.877613,,0.32911,,0.173183,1.869421,
1990-06-22,,0.164354,,,,0.453767,4.5,4.861561,1.534116,,2.179527,,,1.877613,,0.315252,,0.169554,1.789303,
1990-06-29,,0.177225,,,,0.452949,4.75,4.950854,1.523956,,2.184596,,,1.877613,,0.32911,,0.169225,1.81601,
1990-07-06,,0.177225,,,,0.461943,4.8125,4.960774,1.503636,,2.291584,,,1.872711,,0.332574,,0.173843,1.81601,
1990-07-13,,0.185145,,,,0.489741,4.8125,5.655283,1.412198,,2.280901,,,1.91193,,0.32911,,0.18143,1.753695,
1990-07-20,,0.162373,,,,0.484018,3.625,5.31795,1.493476,,2.302267,,,1.907028,,0.332574,,0.192646,1.726989,
1990-07-27,,0.163858,,,,0.470936,3.5625,5.020304,1.468078,,2.227483,,,1.93154,,0.332574,,0.196274,1.673577,
1990-08-03,,0.163363,,,,0.45622,3.0625,4.821873,1.37664,,2.286242,,,2.083515,,0.273681,,0.192316,1.46883,
1990-08-10,,0.153463,,,,0.43578,2.75,4.742503,1.37664,,2.179409,,,2.118402,,0.270216,,0.235153,1.682479,
1990-08-17,,0.144552,,,,0.41861,2.875,4.444858,1.37664,,2.195433,,,2.13892,,0.242502,,0.227342,1.64687,
1990-08-24,,0.153549,,,,0.401441,2.75,4.266269,1.280123,,2.029842,,,2.005557,,0.204394,,0.219531,1.522242,
1990-08-31,,0.160037,,,,0.405529,2.6875,4.548053,1.384815,,2.093943,,,2.051722,,0.22518,,0.233509,1.540046,
1990-09-07,,0.157333,,,,0.396535,3.125,4.468264,1.395426,,2.061892,,,2.087626,,0.232109,,0.23392,1.629066,
1990-09-14,,0.147061,,,,0.389177,2.875,4.208945,1.257476,,2.051208,,,2.108144,,0.204394,,0.233509,1.583417,
1990-09-21,,0.136247,,,,0.406218,2.75,4.208945,1.119525,,2.115308,,,2.103015,,0.187073,,0.233097,1.329288,
1990-09-28,,0.125434,,,,0.396221,2.5625,4.348578,0.907293,,2.238168,,,2.010688,,0.173216,,0.232275,1.211998,
1990-10-05,,0.121109,,,,0.394404,2.5,4.268789,0.880764,,2.400265,,,2.046592,,0.155894,,0.244197,1.231547,
1990-10-12,,0.12219,,,,0.385316,2.0,4.149102,0.817093,,2.41713,,,1.99017,,0.159358,,0.233097,0.987192,
1990-10-19,,0.135707,,,,0.403491,2.0,4.428368,0.811788,,2.400265,,,2.046592,,0.155894,,0.253653,0.996967,
1990-10-26,,0.129759,,,,0.367141,2.0625,4.188996,0.75873,,2.372159,,,1.938876,,0.155894,,0.244609,0.879676,
1990-11-02,,0.137329,,,,0.385316,1.875,4.428368,0.843623,,2.512688,,,2.036334,,0.138572,,0.245431,0.908999,
1990-11-09,,0.153549,,,,0.390769,1.9375,4.488214,0.92321,,2.411509,,,2.185117,,0.145501,,0.311121,0.869902,
1990-11-16,,0.167566,,,,0.402583,2.125,4.667739,1.039937,,2.37778,,,2.185117,,0.159358,,0.317232,0.95787,
1990-11-23,,0.173529,,,,0.38986,2.0,4.727584,0.981573,,2.37778,,,2.21765,,0.173216,,0.314686,0.88945,
1990-11-30,,0.175318,,,,0.398039,2.1875,4.807372,1.018715,,2.478962,,,2.195961,,0.169751,,0.328943,0.88945,
1990-12-07,,0.202749,,,,0.47064,2.3125,5.029787,1.102627,,2.535174,,,2.136318,,0.162823,,0.325379,1.036063,
1990-12-14,,0.190226,,,,0.455293,2.4375,4.849438,1.051736,,2.529553,,,2.201384,,0.142037,,0.328943,0.984307,
1990-12-21,,0.214675,,,,0.474733,2.6875,5.089905,1.147863,,2.546416,,,2.201384,,0.131644,,0.331999,0.942863,
1990-12-28,,0.205134,,,,0.469617,2.375,4.849438,1.051736,,2.507068,,,2.239338,,0.148965,,0.328434,0.901418,
1991-01-04,,0.206327,,,,0.447108,2.5625,4.74924,1.0687,,2.556362,,,2.233916,,0.148965,,0.313667,0.942863,
1991-01-11,,0.224217,,,,0.441992,2.5,4.769278,0.995192,,2.485354,,,2.163428,,0.173216,,0.30552,0.911779,
1991-01-18,,0.239721,,,,0.473709,2.8125,5.17006,1.102627,,2.591868,,,2.239338,,0.162823,,0.326907,0.922141,
1991-01-25,,0.255225,,,,0.490079,3.625,5.049826,1.272262,,2.42026,,,2.282715,,0.183609,,0.354912,1.098279,
1991-02-01,,0.265959,,,,0.523843,3.75,5.370451,1.277916,,2.473518,,,2.190539,,0.221716,,0.367642,1.129363,
1991-02-08,,0.285638,,,,0.534074,3.9375,5.711114,1.391007,,2.645126,,,2.431556,,0.242502,,0.393612,1.315864,
1991-02-15,,0.292084,,,,0.569884,3.9375,5.951581,1.464515,,2.674714,,,2.443,,0.252895,,0.427219,1.440197,
1991-02-22,,0.302855,,,,0.566814,3.875,5.971619,1.357079,,2.574115,,,2.460162,,0.228645,,0.49036,1.367669,
1991-03-01,,0.292717,,,,0.618288,4.0,5.791269,1.374043,,2.562281,,,2.551703,,0.232109,,0.50542,1.429836,
1991-03-08,,0.329465,,,,0.599212,4.6875,5.811308,1.426589,,2.550447,,,2.53454,,0.242502,,0.518071,1.47128,
1991-03-15,,0.335801,,,,0.616044,5.125,5.931541,1.491975,,2.574115,,,2.614638,,0.239037,,0.504215,1.492969,
1991-03-22,,0.320595,,,,0.594724,5.625,5.979248,1.402813,,2.562281,,,2.648966,,0.239037,,0.501203,1.33069,
1991-03-29,,0.344671,,,,0.625021,5.25,6.240966,1.646521,,2.656961,,,2.677573,,0.239037,,0.515661,1.503788,
1991-04-05,,0.351641,,,,0.636242,5.6875,6.54295,1.747571,,2.662084,,,2.62608,,0.263288,,0.546986,1.655249,
1991-04-12,,0.363679,,,,0.655318,6.8125,7.026117,1.747571,,2.64338,,,2.734785,,0.263288,,0.548191,1.622793,
1991-04-19,,0.302221,,,,0.667661,6.75,6.764396,1.872398,,2.693254,,,2.75195,,0.301395,,0.536143,1.828346,
1991-04-26,,0.297152,,,,0.644097,6.1875,6.66374,1.75946,,2.655849,,,2.723343,,0.304859,,0.538553,1.795891,
1991-05-03,,0.248366,,,,0.651952,6.0625,6.66374,1.75946,,2.649615,,,2.711901,,0.346431,,0.556625,1.720161,
1991-05-10,,0.259771,,,,0.639608,6.125,6.442287,1.765404,,2.487521,,,2.775298,,0.398396,,0.554215,1.676886,
1991-05-17,,0.238229,,,,0.641853,5.5,6.54295,1.705963,,2.499989,,,2.781292,,0.374146,,0.570622,1.611974,
1991-05-24,,0.25043,,,,0.655318,6.5,6.66374,1.807013,,2.493754,,,2.811263,,0.433039,,0.604264,1.785072,
1991-05-31,,0.256571,,,,0.753772,6.75,6.905327,2.00317,,2.581036,,,2.793281,,0.439968,,0.60944,1.849984,
1991-06-07,,0.251794,,,,0.723279,6.5,6.704008,2.069949,,2.481287,,,2.757315,,0.533504,,0.57968,2.098812,
